Signal ID,Location Name,Signal Type,Signal Status,ATD Location ID,COA Intersection ID,Control,Council District(s),Primary St,Cross St,Cross St Segment ID,Landmark,Primary Signal,Secondary Signal(s),Jurisdiction Label,Primary St Segment ID,Signal Eng. Area,Traffic Engineer Area,Turn On Date,Cross St Block,Primary St Block,Signal PM Max Fiscal Year,Pedestrian Button Type,Leading Pedestrian Interval,Date Leading Pedestrian Interval Installed,North/South Pedestrian Interval,East/West Pedestrian Interval,Leading Pedestrian Interval Comment,Bicycle Signal,Bus Stops,Source DB ID,IP Communication status,Comm Status Datetime,Owner,Detection status,Detection Status Date,Construction Note,Construction Note Date,Modified Date,Location,Corridor Retiming Zone,Backplate Installed,Backplate Type,Intersection Backplate Status,Dark Signal
2, GUADALUPE ST / LAMAR BLVD,TRAFFIC,TURNED_ON,LOC16-000005,5158418,PRIMARY,9, GUADALUPE ST, LAMAR BLVD,2046174,,,,AUSTIN FULL PURPOSE,2046169,NORTHWEST,,03/18/1965,"4,701","4,700",2021,,False,,,,,False,,58164b9af9195edb2a5e3a07,,,COA,OK,05/16/2019 05:00:00 AM +0000,,,07/03/2024 04:22:00 PM +0000,POINT (-97.732246 30.316647),North Lamar 1,False,,,NO
85, BURNET RD / NORTHLAND DR,TRAFFIC,TURNED_ON,LOC16-000420,5157143,PRIMARY,7, BURNET RD, NORTHLAND DR,2011931,,,,AUSTIN FULL PURPOSE,2011930,NORTHWEST,,03/30/1956,"2,101","5,700",2021,,False,,,,,False,821,5817c07ce052e0422be6c49e,,,COA,OK,06/14/2017 05:00:00 AM +0000,,,01/10/2024 05:20:00 PM +0000,POINT (-97.740067 30.332472),Burnet,False,,,NO
7, LAMAR BLVD / BRENTWOOD ST,TRAFFIC,TURNED_ON,LOC16-000030,5159639,PRIMARY,"4, 7", LAMAR BLVD, BRENTWOOD ST,2011842,,,,AUSTIN FULL PURPOSE,2011841,NORTHWEST,,07/17/1962,801,"6,600",2021,,False,,,,,False,"475, 618",58164b9af9195edb2a5e3a11,,,COA,OK,09/19/2022 05:00:00 AM +0000,,,07/16/2024 06:47:00 PM +0000,POINT (-97.721245 30.334),North Lamar 1,False,,,NO
58, 38TH ST / SPEEDWAY ,TRAFFIC,TURNED_ON,LOC16-000285,5158290,PRIMARY,9, 38TH ST, SPEEDWAY ,2016610,,,,AUSTIN FULL PURPOSE,2016611,NORTHWEST,,09/25/1970,"3,800",100,2021,,True,03/25/2020 12:00:00 AM,"4p, 8p",,,False,"4114, 6277, 6278, 983",5817c07be052e0422be6c468,,,COA,OK,03/10/2021 06:00:00 AM +0000,,,03/27/2024 01:59:00 PM +0000,POINT (-97.733551 30.30053),Triangle,False,,,NO
44, GUADALUPE ST / 29TH ST,TRAFFIC,TURNED_ON,LOC16-000215,5156858,PRIMARY,9, GUADALUPE ST, 29TH ST,2016925,,,,AUSTIN FULL PURPOSE,2016924,CENTRAL,,12/24/1954,601,"2,900",2021,APS,False,,,,,False,"2003, 5634",5817c07be052e0422be6c44c,,,COA,OK,08/21/2023 05:00:00 AM +0000,,,04/01/2024 03:10:00 PM +0000,POINT (-97.742813 30.295429),Campus,False,,,NO
26, MARTIN LUTHER KING JR BLVD / SAN JACINTO BLVD,TRAFFIC,TURNED_ON,LOC16-000125,5158015,PRIMARY,9, MARTIN LUTHER KING JR BLVD, SAN JACINTO BLVD,2017890,,,,AUSTIN FULL PURPOSE,2017891,CENTRAL,,12/24/1954,"1,904",200,2021,APS,False,,,,,False,,5817c07ae052e0422be6c428,,,COA,OK,07/17/2024 05:00:00 AM +0000,,,07/17/2024 03:56:00 PM +0000,POINT (-97.73571 30.279976),Campus,False,,,NO
39, GUADALUPE ST / WEST MALL UT  (UT CROSSWALK),TRAFFIC,TURNED_ON,LOC16-000190,5157078,PRIMARY,9, GUADALUPE ST, WEST MALL UT ,2019909,UT CROSSWALK,,,AUSTIN FULL PURPOSE,2019907,CENTRAL,,12/24/1954,1,"2,200",2021,APS,False,,,,,False,"1042, 497, 5865",5817c07ae052e0422be6c442,,,COA,NO DETECTION,06/14/2017 05:00:00 AM +0000,,,07/16/2024 04:51:00 PM +0000,POINT (-97.741737 30.285893),Campus,False,,,NO
27, MARTIN LUTHER KING JR BLVD / TRINITY ST,TRAFFIC,TURNED_ON,LOC16-000130,5158219,PRIMARY,9, MARTIN LUTHER KING JR BLVD, TRINITY ST,2017911,,,,AUSTIN FULL PURPOSE,2017912,CENTRAL,,03/16/1963,"1,900",312,2021,APS,False,,,,,False,"2768, 4134, 4586",5817c07ae052e0422be6c42a,,,COA,OK,02/25/2021 06:00:00 AM +0000,,,06/25/2024 05:55:00 PM +0000,POINT (-97.734512 30.279638),Campus,False,,,NO
54, DEAN KEETON ST / SAN JACINTO BLVD,TRAFFIC,TURNED_ON,LOC16-000265,5158159,PRIMARY,9, DEAN KEETON ST, SAN JACINTO BLVD,2017266,,,,AUSTIN FULL PURPOSE,2017278,CENTRAL,,05/07/1971,"2,600",400,2021,,True,03/25/2020 12:00:00 AM,"4p, 8p",,,False,"1177, 1256, 2004, 5038, 5438",5817c07be052e0422be6c460,,,COA,OK,04/25/2024 05:00:00 AM +0000,,,07/24/2024 05:55:00 PM +0000,POINT (-97.734612 30.289316),Campus,False,,,NO
16, AIRPORT BLVD / HIGHLAND MALL BLVD,TRAFFIC,TURNED_ON,LOC16-000075,5160255,PRIMARY,4, AIRPORT BLVD, HIGHLAND MALL BLVD,3257754,,,,AUSTIN FULL PURPOSE,2012059,NORTHEAST,,11/05/1971,212,"6,416",2021,,True,05/15/2024 12:00:00 AM,2p,"4p, 8p",4 and 8 implemented at activation in 2023.,False,"5537, 5602, 5603",5817c079e052e0422be6c414,,,COA,OK,03/28/2022 05:00:00 AM +0000,,,07/03/2024 05:39:00 PM +0000,POINT (-97.715836 30.328857),Airport North,False,,,NO
