Treatment,Segment ID,Council District,Street Name,Segment Length,Segment Width,Lane Miles,PROJECT_ID,Most Recent Inspection Grade,Most Recent Inspection Year,Functional Class,Days Since Last Maintenance,Number of SLCT6 events,Number of SLCT5 events,Number of SLURRY events,Number of PMOL events,Number of STROL events,Number of CRCKSL events,Number of SLRYCDS events,Number of LUSLCT5 events,Number of FSMOL events,Number of RC-COL events,Number of RH-FDR events,Number of RH-MED events,Number of TRMSS events,Number of LUSLCT6 events,Number of ZPLUOL events,Total Maintenance Events,Number of traffic incidents
SLCT6,2013398,10.0,BUTTE BLVD,239,21.0,0.09,28005,F,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
SLCT6,2037775,10.0,BUTTE BLVD,229,21.0,0.09,28005,C,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
SLCT5,2032277,10.0,LEEWARD CT,131,27.0,0.06,28335,F,2021.0,Residential,2909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLCT6,2032292,10.0,CRAGGY PT,249,27.0,0.13,28086,C,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLCT6,2032279,10.0,PRECIPICE CV,131,27.0,0.07,28495,C,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2042101,5.0,JUBILEE TRL,562,29.0,0.31,27621,C,2022.0,Residential,2909,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SLURRY,2035185,5.0,IVANHOE TRL,247,29.0,0.14,27624,F,2022.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2027749,5.0,IVANHOE TRL,397,27.0,0.21,27625,F,2022.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2034707,5.0,JADEWOOD CT,299,29.0,0.16,27628,D,2022.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2035181,5.0,HUNNICUT CT,219,29.0,0.12,27629,F,2022.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2034122,2.0,ROCKING CHAIR RD,271,27.0,0.14,27663,C,2022.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2034105,2.0,TERN CIR,258,27.0,0.13,27671,D,2022.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLURRY,2037940,3.0,COLLINS CREEK DR,1040,27.0,0.53,27677,F,2021.0,Residential,2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
SLCT6,2032291,10.0,PALISADE CT,383,27.0,0.2,28452,C,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLCT6,2013393,10.0,PALISADE DR,193,27.0,0.1,28453,B,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLCT6,2013400,10.0,PALISADE DR,305,27.0,0.16,28453,B,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLCT6,2013407,10.0,PALISADE DR,405,27.0,0.21,28453,B,2021.0,Residential,2909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
