Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
10TH ST E|CHICON ST|LINCOLN ST,10TH ST E,CHICON ST,LINCOLN ST,['2017-11-30'],Residential,B,C,C,2021.0,2018.0,2018.0,2440,1,
10TH ST E|HARVARD ST|NORTHWESTERN AVE,10TH ST E,HARVARD ST,NORTHWESTERN AVE,['2018-07-30'],Residential,D,D,D,2021.0,2018.0,2018.0,2198,1,
10TH ST E|HARVARD ST|SWENSON AVE,10TH ST E,SWENSON AVE,HARVARD ST,['2018-07-30'],Residential,D,D,D,2021.0,2018.0,2018.0,2198,1,
10TH ST E|LYDIA ST|WALLER ST,10TH ST E,WALLER ST,LYDIA ST,['2016-11-15'],Residential,B,C,C,2021.0,2018.0,2018.0,2820,1,
10TH ST E|LYDIA ST|WHEELESS ST,10TH ST E,LYDIA ST,WHEELESS ST,['2016-11-15'],Residential,C,C,C,2021.0,2018.0,2018.0,2820,1,
10TH ST E|NAVASOTA ST|WHEELESS ST,10TH ST E,WHEELESS ST,NAVASOTA ST,['2016-11-15'],Residential,B,B,B,2021.0,2018.0,2018.0,2820,1,
10TH ST E|NECHES ST|RED RIVER ST,10TH ST E,NECHES ST,RED RIVER ST,['2019-08-21'],Collector,D,D,D,2021.0,2018.0,2018.0,1811,1,
10TH ST E|NECHES ST|TRINITY ST,10TH ST E,TRINITY ST,NECHES ST,['2019-08-21'],Collector,C,C,C,2021.0,2018.0,2018.0,1811,1,
10TH ST E|PROSPECT AVE|SAN SABA ST,10TH ST E,PROSPECT AVE,SAN SABA ST,['2018-07-30'],Residential,D,F,F,2021.0,2018.0,2018.0,2198,1,
10TH ST E|SAN JACINTO BLVD|TRINITY ST,10TH ST E,SAN JACINTO BLVD,TRINITY ST,['2019-08-21'],Collector,B,F,F,2021.0,2018.0,2018.0,1811,1,
10TH ST E|SAN MARCOS ST|WALLER ST,10TH ST E,SAN MARCOS ST,WALLER ST,['2016-11-15'],Residential,C,A,A,2021.0,2018.0,2018.0,2820,1,
10TH ST E|SAN SABA ST|SWENSON AVE,10TH ST E,SAN SABA ST,SWENSON AVE,['2018-07-30'],Residential,F,F,F,2021.0,2018.0,2018.0,2198,1,
10TH ST W|1815|1830,10TH ST W,1815,1830,['2018-12-12'],Residential,D,B,B,2021.0,2018.0,2018.0,2063,1,
10TH ST W|2200|2206,10TH ST W,2200,2206,['2019-03-27'],Residential,F,C,C,2021.0,2018.0,2018.0,1958,1,
10TH ST W|BAYLOR ST|LAMAR BLVD N,10TH ST W,LAMAR BLVD N,BAYLOR ST,['2019-12-12'],Residential,D,B,B,2021.0,2018.0,2018.0,1698,1,
10TH ST W|BLANCO ST|DEAD END,10TH ST W,DEAD END,BLANCO ST,['2017-04-26'],Residential,C,C,C,2021.0,2018.0,2018.0,2658,1,
10TH ST W|BLANCO ST|SHELLEY AVE,10TH ST W,BLANCO ST,SHELLEY AVE,['2017-04-25'],Residential,A,A,A,2021.0,2018.0,2018.0,2659,1,
10TH ST W|CHARLOTTE ST|TOYATH ST,10TH ST W,CHARLOTTE ST,TOYATH ST,['2018-12-12'],Residential,C,C,C,2021.0,2018.0,2018.0,2063,1,
10TH ST W|CHARLOTTE ST|WEST LYNN ST,10TH ST W,WEST LYNN ST,CHARLOTTE ST,['2018-12-12'],Residential,C,C,C,2021.0,2018.0,2018.0,2063,1,
10TH ST W|EASON ST|ELM ST,10TH ST W,ELM ST,EASON ST,['2017-04-25'],Residential,B,A,A,2021.0,2018.0,2018.0,2659,1,
10TH ST W|EASON ST|WEST LYNN ST,10TH ST W,EASON ST,WEST LYNN ST,['2017-04-25'],Residential,B,A,A,2021.0,2018.0,2018.0,2659,1,
10TH ST W|ELM ST|MAUFRAIS ST,10TH ST W,MAUFRAIS ST,ELM ST,['2017-04-25'],Residential,C,C,C,2021.0,2018.0,2018.0,2659,1,
10TH ST W|LORRAIN ST|MAUFRAIS ST,10TH ST W,LORRAIN ST,MAUFRAIS ST,['2017-04-25'],Residential,D,A,A,2021.0,2018.0,2018.0,2659,1,
10TH ST W|LORRAIN ST|SHELLEY AVE,10TH ST W,SHELLEY AVE,LORRAIN ST,['2017-04-25'],Residential,F,D,D,2021.0,2018.0,2018.0,2659,1,
10TH ST W|MAUFRAIS ST|MAUFRAIS ST,10TH ST W,MAUFRAIS ST,MAUFRAIS ST,['2017-04-25'],Residential,C,C,C,2021.0,2018.0,2018.0,2659,1,
10TH ST W|MERIDEN LN|WINSTED LN,10TH ST W,WINSTED LN,MERIDEN LN,['2019-03-27'],Residential,C,C,C,2021.0,2018.0,2018.0,1958,1,
10TH ST W|PATTERSON AVE|THERESA AVE,10TH ST W,PATTERSON AVE,THERESA AVE,['2018-12-12'],Residential,C,D,D,2021.0,2018.0,2018.0,2063,1,
10TH ST W|PATTERSON AVE|TOYATH ST,10TH ST W,TOYATH ST,PATTERSON AVE,['2018-12-12'],Residential,F,F,F,2021.0,2018.0,2018.0,2063,1,
10TH ST W|SHELLEY AVE|SHELLEY AVE,10TH ST W,SHELLEY AVE,SHELLEY AVE,['2017-04-25'],Residential,F,A,A,2021.0,2018.0,2018.0,2659,1,
11TH ST W|1800|1831,11TH ST W,1800,1831,['2018-12-12'],Residential,C,C,C,2021.0,2018.0,2018.0,2063,1,
11TH ST W|BAYLOR ST|BLANCO ST,11TH ST W,BAYLOR ST,BLANCO ST,['2018-12-12'],Residential,D,D,D,2021.0,2018.0,2018.0,2063,1,
11TH ST W|CHARLOTTE ST|TOYATH ST,11TH ST W,CHARLOTTE ST,TOYATH ST,['2018-12-12'],Residential,C,C,C,2021.0,2018.0,2018.0,2063,1,
13TH ST W|ELM ST|MARSHALL LN,13TH ST W,MARSHALL LN,ELM ST,['2018-12-12'],Residential,B,C,C,2021.0,2018.0,2018.0,2063,1,
13TH ST W|ELM ST|WEST LYNN ST,13TH ST W,ELM ST,WEST LYNN ST,['2018-12-12'],Residential,C,D,D,2021.0,2018.0,2018.0,2063,1,
13TH ST W|LORRAIN ST|MARSHALL LN,13TH ST W,LORRAIN ST,MARSHALL LN,['2018-12-12'],Residential,D,C,C,2021.0,2018.0,2018.0,2063,1,
13TH ST W|LORRAIN ST|SHELLEY AVE,13TH ST W,SHELLEY AVE,LORRAIN ST,['2018-12-12'],Residential,B,C,C,2021.0,2018.0,2018.0,2063,1,
13TH ST W|MARSHALL LN|MARSHALL LN,13TH ST W,MARSHALL LN,MARSHALL LN,['2018-12-12'],Residential,F,C,C,2021.0,2018.0,2018.0,2063,1,
13TH ST W|SHELLEY AVE|WINDSOR RD,13TH ST W,WINDSOR RD,SHELLEY AVE,['2018-12-12'],Residential,C,C,C,2021.0,2018.0,2018.0,2063,1,
14TH 1/2 ST E|14TH ST E|MC KINLEY AVE,14TH 1/2 ST E,14TH ST E,MC KINLEY AVE,['2020-01-23'],Residential,A,C,C,2021.0,2018.0,2018.0,1656,1,
14TH 1/2 ST E|AIRPORT BLVD|MC KINLEY AVE,14TH 1/2 ST E,MC KINLEY AVE,AIRPORT BLVD,['2020-01-23'],Residential,B,D,D,2021.0,2018.0,2018.0,1656,1,
14TH ST E|ALEXANDER AVE|CLIFFORD AVE,14TH ST E,ALEXANDER AVE,CLIFFORD AVE,['2020-01-21'],Residential,C,D,D,2021.0,2018.0,2018.0,1658,1,
14TH ST E|ANGELINA ST|COMAL ST,14TH ST E,ANGELINA ST,COMAL ST,['2018-12-18'],Residential,C,C,C,2021.0,2018.0,2018.0,2057,1,
14TH ST E|ANGELINA ST|SAN BERNARD ST,14TH ST E,SAN BERNARD ST,ANGELINA ST,['2018-12-18'],Residential,D,C,C,2021.0,2018.0,2018.0,2057,1,
14TH ST E|CLIFFORD AVE|SANCHEZ ST,14TH ST E,CLIFFORD AVE,SANCHEZ ST,['2020-01-21'],Residential,B,C,C,2021.0,2018.0,2018.0,1658,1,
14TH ST E|COMAL ST|CONCHO ST,14TH ST E,COMAL ST,CONCHO ST,['2018-12-18'],Residential,B,B,B,2021.0,2018.0,2018.0,2057,1,
14TH ST E|CONCHO ST|LEONA ST,14TH ST E,CONCHO ST,LEONA ST,['2018-12-18'],Residential,D,C,C,2021.0,2018.0,2018.0,2057,1,
14TH ST E|HARVEY ST|SANCHEZ ST,14TH ST E,SANCHEZ ST,HARVEY ST,['2020-01-21'],Residential,C,C,C,2021.0,2018.0,2018.0,1658,1,
14TH ST E|NAVASOTA ST|SAN BERNARD ST,14TH ST E,NAVASOTA ST,SAN BERNARD ST,['2018-12-18'],Residential,C,C,C,2021.0,2018.0,2018.0,2057,1,
14TH ST E|NAVASOTA ST|WALLER ST,14TH ST E,WALLER ST,NAVASOTA ST,['2018-12-18'],Residential,C,B,B,2021.0,2018.0,2018.0,2057,1,
14TH ST E|OLANDER ST|WALLER ST,14TH ST E,OLANDER ST,WALLER ST,['2018-12-18'],Residential,B,B,B,2021.0,2018.0,2018.0,2057,1,
14TH ST W|COLORADO ST|LAVACA ST,14TH ST W,COLORADO ST,LAVACA ST,['2018-09-29'],Collector,D,C,C,2021.0,2018.0,2018.0,2137,1,
18TH ST E|HARVEY ST|MC KINLEY AVE,18TH ST E,HARVEY ST,MC KINLEY AVE,['2020-01-27'],Residential,B,C,C,2021.0,2018.0,2018.0,1652,1,
20TH ST E|ALAMO ST|COLETO ST,20TH ST E,ALAMO ST,COLETO ST,['2017-04-04'],Residential,C,C,C,2021.0,2018.0,2018.0,2680,1,
20TH ST E|ALAMO ST|POQUITO ST,20TH ST E,POQUITO ST,ALAMO ST,['2017-04-04'],Residential,B,D,D,2021.0,2018.0,2018.0,2680,1,
20TH ST E|CHESTNUT AVE|COLETO ST,20TH ST E,COLETO ST,CHESTNUT AVE,['2017-04-04'],Residential,F,F,F,2021.0,2018.0,2018.0,2680,1,
20TH ST E|CHICON ST|POQUITO ST,20TH ST E,CHICON ST,POQUITO ST,['2017-04-04'],Residential,C,C,C,2021.0,2018.0,2018.0,2680,1,
20TH ST E|CHICON ST|SALINA ST,20TH ST E,SALINA ST,CHICON ST,['2017-04-04'],Residential,F,C,C,2021.0,2018.0,2018.0,2680,1,
20TH ST E|COMAL ST|CONCHO ST,20TH ST E,COMAL ST,CONCHO ST,['2017-04-04'],Residential,C,C,C,2021.0,2018.0,2018.0,2680,1,
20TH ST E|CONCHO ST|LEONA ST,20TH ST E,CONCHO ST,LEONA ST,['2017-04-04'],Residential,C,C,C,2021.0,2018.0,2018.0,2680,1,
20TH ST E|LEONA ST|SALINA ST,20TH ST E,LEONA ST,SALINA ST,['2017-04-04'],Residential,B,D,D,2021.0,2018.0,2018.0,2680,1,
24TH ST W|LAMAR BLVD N|PARKWAY,24TH ST W,LAMAR BLVD N,PARKWAY,['2018-07-02'],Arterial,F,F,F,2021.0,2018.0,2018.0,2226,1,
24TH ST W|PARKWAY|WINDSOR RD,24TH ST W,PARKWAY,WINDSOR RD,['2018-07-02'],Arterial,F,F,F,2021.0,2018.0,2018.0,2226,1,
25TH 1/2 ST W|LEON ST|SAN GABRIEL ST,25TH 1/2 ST W,SAN GABRIEL ST,LEON ST,['2017-05-16'],Residential,B,D,D,2021.0,2018.0,2018.0,2638,1,
27TH ST W|GUADALUPE ST|NUECES ST,27TH ST W,GUADALUPE ST,NUECES ST,['2017-05-18'],Collector,D,B,B,2021.0,2018.0,2018.0,2636,1,
27TH ST W|GUADALUPE ST|WHITIS AVE,27TH ST W,WHITIS AVE,GUADALUPE ST,['2017-05-18'],Collector,C,C,C,2021.0,2018.0,2018.0,2636,1,
27TH ST W|UNIVERSITY AVE|WHITIS AVE,27TH ST W,UNIVERSITY AVE,WHITIS AVE,['2017-05-18'],Collector,C,D,D,2021.0,2018.0,2018.0,2636,1,
27TH ST W|UNIVERSITY AVE|WICHITA ST,27TH ST W,WICHITA ST,UNIVERSITY AVE,['2017-05-18'],Collector,B,D,D,2021.0,2018.0,2018.0,2636,1,
27TH ST W|WHITIS AVE|WHITIS AVE,27TH ST W,WHITIS AVE,WHITIS AVE,['2017-05-18'],Collector,C,C,C,2021.0,2018.0,2018.0,2636,1,
28TH 1/2 ST W|PEARL ST|SAN GABRIEL ST,28TH 1/2 ST W,PEARL ST,SAN GABRIEL ST,['2017-07-26'],Residential,D,D,D,2021.0,2018.0,2018.0,2567,1,
28TH 1/2 ST W|PEARL ST|SAN PEDRO ST,28TH 1/2 ST W,SAN PEDRO ST,PEARL ST,['2017-07-26'],Residential,C,D,D,2021.0,2018.0,2018.0,2567,1,
28TH 1/2 ST W|SAN GABRIEL ST|SHOAL CREST AVE,28TH 1/2 ST W,SAN GABRIEL ST,SHOAL CREST AVE,['2016-12-12'],Residential,C,C,C,2021.0,2018.0,2018.0,2793,1,
28TH ST W|GUADALUPE ST|NUECES ST,28TH ST W,GUADALUPE ST,NUECES ST,['2020-01-11'],Residential,C,C,C,2021.0,2018.0,2018.0,1668,1,
28TH ST W|NUECES ST|RIO GRANDE ST,28TH ST W,NUECES ST,RIO GRANDE ST,['2020-01-11'],Residential,B,A,A,2021.0,2018.0,2018.0,1668,1,
29TH 1/2 ST W|601|RIO GRANDE ST,29TH 1/2 ST W,601,RIO GRANDE ST,['2019-01-07'],Residential,C,A,A,2021.0,2018.0,2018.0,2037,1,
29TH ST W|FRUTH ST|GUADALUPE ST,29TH ST W,FRUTH ST,GUADALUPE ST,['2019-08-08'],Residential,F,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|GLENVIEW AVE|JEFFERSON ST,29TH ST W,GLENVIEW AVE,JEFFERSON ST,['2016-10-21'],Collector,F,F,F,2021.0,2018.0,2018.0,2845,1,
29TH ST W|GLENVIEW AVE|KERBEY LN,29TH ST W,KERBEY LN,GLENVIEW AVE,['2016-10-21'],Collector,C,C,C,2021.0,2018.0,2018.0,2845,1,
29TH ST W|GUADALUPE ST|RIO GRANDE ST,29TH ST W,GUADALUPE ST,RIO GRANDE ST,['2019-08-08'],Collector,C,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|HARRIS BLVD|KERBEY LN,29TH ST W,HARRIS BLVD,KERBEY LN,['2016-10-21'],Collector,C,D,D,2021.0,2018.0,2018.0,2845,1,
29TH ST W|HARRIS BLVD|OAKHURST AVE,29TH ST W,OAKHURST AVE,HARRIS BLVD,['2016-10-21'],Collector,D,C,C,2021.0,2018.0,2018.0,2845,1,
29TH ST W|JEFFERSON ST|OAKMONT BLVD,29TH ST W,JEFFERSON ST,OAKMONT BLVD,['2016-10-21'],Residential,D,F,F,2021.0,2018.0,2018.0,2845,1,
29TH ST W|LAMAR BLVD N|SHOAL CREST AVE,29TH ST W,SHOAL CREST AVE,LAMAR BLVD N,['2019-08-08'],Collector,F,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|PEARL ST|PEARL ST,29TH ST W,PEARL ST,PEARL ST,['2019-08-08'],Collector,C,D,D,2021.0,2018.0,2018.0,1824,1,
29TH ST W|PEARL ST|SAN GABRIEL ST,29TH ST W,PEARL ST,SAN GABRIEL ST,['2019-08-08'],Collector,C,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|PEARL ST|WEST AVE,29TH ST W,WEST AVE,PEARL ST,['2019-08-08'],Collector,C,D,D,2021.0,2018.0,2018.0,1824,1,
29TH ST W|RIO GRANDE ST|SALADO ST,29TH ST W,RIO GRANDE ST,SALADO ST,['2019-08-08'],Collector,C,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|SALADO ST|SALADO ST,29TH ST W,SALADO ST,SALADO ST,['2019-08-08'],Collector,D,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|SALADO ST|WEST AVE,29TH ST W,SALADO ST,WEST AVE,['2019-08-08'],Collector,F,F,F,2021.0,2018.0,2018.0,1824,1,
29TH ST W|SAN GABRIEL ST|SHOAL CREST AVE,29TH ST W,SAN GABRIEL ST,SHOAL CREST AVE,['2019-08-08'],Collector,F,F,F,2021.0,2018.0,2018.0,1824,1,
2ND ST S|2413|OLTORF ST W,2ND ST S,OLTORF ST W,2413,['2017-07-01'],Residential,C,C,C,2021.0,2019.0,2017.0,2592,1,
2ND ST S|3301|CARDINAL LN,2ND ST S,3301,CARDINAL LN,['2018-10-11'],Residential,D,F,F,2021.0,2019.0,2017.0,2125,1,
2ND ST S|ANNIE ST W|MARY ST W,2ND ST S,ANNIE ST W,MARY ST W,['2017-07-11'],Residential,D,C,C,2021.0,2019.0,2017.0,2582,1,
2ND ST S|ANNIE ST W|MILTON ST W,2ND ST S,MILTON ST W,ANNIE ST W,['2017-07-11'],Residential,D,D,D,2021.0,2019.0,2017.0,2582,1,
