Segment ID,Street Name,From Limit Street,To Limit Street,Functional Class,Minimum Address in Range,Maximum Address in Range,Segment Width,Segment Length,Lane Miles,Grade,Inspection ID
2047396,15TH EB TO LAMAR NB RAMP,15TH ST W,SHOAL CREEK BLVD,Arterial,0,0,16,345,0.1,F,2021 Data
2047397,15TH EB TO LAMAR NB RAMP,SHOAL CREEK BLVD,N LAMAR BLVD,Arterial,0,0,16,124,0.04,F,2021 Data
2021686,N MOPAC NB TO NEWFIELD RAMP,0,0,Residential,0,0,23,354,0.15,A,2021 Data
2021672,N MOPAC NB TO NEWFIELD RAMP,0,0,Residential,0,0,24,1498,0.68,B,2021 Data
2020052,N MOPAC NB TO 35TH EB RAMP,0,0,Arterial,0,0,27,135,0.07,C,2021 Data
2021764,N MOPAC SB TO 35TH WB RAMP,0,0,Arterial,0,0,41,880,0.68,B,2021 Data
2013655,N MOPAC SB TO 45TH WB RAMP,0,0,Arterial,0,0,27,182,0.09,C,2021 Data
2021771,N MOPAC NB TO 45TH EB RAMP,2905,2907,Arterial,0,0,27,140,0.06,F,2021 Data
5085188,AIRPORT SB LEFT TO ALDRICH,0,0,Arterial,0,0,30,371,0.21,C,2021 Data
5085192,ALDRICH TO SB AIRPORT BLVD,0,0,Arterial,0,0,30,91,0.05,F,2021 Data
2016560,N IH 35 NB TO AIRPORT SB RAMP,0,0,Arterial,0,0,30,225,0.13,C,2021 Data
2021658,6TH WB AT N MO-PAC TRN W,6TH ST W,5TH ST W,Arterial,0,0,27,672,0.34,B,2021 Data
2012665,RESEARCH SB TO ANDERSO WB RAMP,0,0,Arterial,0,0,57,497,0.54,F,2020 Data
2021200,BARTON SPG TO LAMAR NB RAMP,LEE BARTON DR,LAMAR BLVD S,Arterial,0,0,27,263,0.13,F,2021 Data
2044941,CESAR CHAVEZ AT STEPHEN F A TRN,RESERVE RD,0 (RAMP),Residential,0,0,27.1,166,0.09,A,2021 Data
2044942,CESAR CHAVEZ AT STEPHEN F A TRN,0 (RAMP),RESERVE RD,Residential,0,0,27.1,174,0.09,A,2021 Data
2021727,HARTFORD SB TO MOPAC NB RAMP,0,0,Collector,0,0,37,241,0.17,F,2021 Data
2021767,N MOPAC NB TO 45TH RAMP,0,0,Collector,0,0,27,102,0.05,D,2021 Data
2006594,RESEARCH SVRD SB AT BRAKER TRN,0,0,Collector,0,0,22,1143,0.48,B,2020 Data
2021758,N MOPAC NB TO 35TH RAMP,0,0,Collector,0,0,27,88,0.05,F,2021 Data
2019854,LAMAR NB TO W 15TH EB RAMP N,SHOAL CREEK BLVD,15TH ST W,Arterial,0,0,27,371,0.34,F,2021 Data
2047432,LAMAR SB TO W 15TH RAMP N,0,0,Arterial,0,0,16.1,294,0.09,F,2021 Data
2047433,LAMAR SB TO W 15TH RAMP N,0,0,Arterial,0,0,16.1,140,0.04,F,2021 Data
2047435,LAMAR AT 15TH TRN N,LAMAR BLVD N,LAMAR BLVD N,Arterial,0,0,26.1,61,0.03,F,2021 Data
2012631,MOPAC TO BURNET RD RAMP,0,0,Residential,0,0,37,994,0.7,A,2020 Data
2017458,MLK EB TO ED BLUESTEIN SB RAMP E,ED BLUESTEIN SVC RD,MARTIN LUTHER KING BLVD E,Arterial,0,0,27,361,0.18,D,2021 Data
2017439,MLK WB TO ED BLUESTEIN NB RAMP E,F M 969 RD,ED BLUESTEIN SVC RD,Arterial,0,0,27,318,0.16,D,2021 Data
2021692,NEWFIELD TO ENFIELD RAMP,0,0,Residential,0,0,27,316,0.16,A,2021 Data
2021749,OAKMONT TO MOPAC NB RAMP,0,0,Residential,0,0,24,717,0.33,B,2021 Data
5463926,MUELLER BLVD,PHILOMENA ST,GARCIA ST,Collector,0,4837,35,557,0.37,C,2022 Data
2013697,PERRY TO MOPAC NB RAMP,0,0,Collector,0,0,27,491,0.25,C,2021 Data
2023632,RIVERSIDE DR E,0,0,Arterial,0,0,21,257,0.1,F,2021 Data
2023633,RIVERSIDE DR E,0,0,Arterial,0,0,21,324,0.13,F,2021 Data
2022779,RIVERSIDE EB AT PLEASANT VALLE T,RIVERSIDE DR E,RIVERSIDE DR E,Arterial,0,0,30,501,0.19,F,2021 Data
2022798,RIVERSIDE WB AT PLEASANT VALLE T,RIVERSIDE DR E,RIVERSIDE DR E,Arterial,0,0,30,338,0.19,F,2021 Data
2037482,SLAUGHTER TO BRANDT RAMP E,SLAUGHTER LN E,BRANDT RD,Arterial,0,0,27.1,757,0.37,F,2022 Data
2012398,STECK TO MOPAC SVRD NB RAMP,0,0,Arterial,0,0,37,390,0.27,C,2020 Data
2012623,YORK BLVD,0,0,Collector,0,0,27,1337,0.68,A,2020 Data
5363327,SIMOND AVE,VAUGHAN ST,TILLEY ST,Collector,0,2613,19,837,0.3,C,2022 Data
5463930,MUELLER BLVD,GARCIA ST,BARBARA JORDAN BLVD,Collector,0,4925,35,707,0.47,B,2022 Data
5418513,WHITTER DR,CHARLES MERLE DR,8717,Residential,0,8717,338,28,0.18,B,2022 Data
5418505,WHITTER DR,CHARLES MERLE DR,8716,Residential,0,8716,334,28,0.18,C,2022 Data
2042938,1ST ST S,LAVACA ST,RIVERSIDE DR W,Arterial,1,223,41,1498,1.16,B,2021 Data
2033286,BIERCE ST,2,RIVER ST,Residential,1,59,12,130,0.09,D,2021 Data
2033270,BRAZOS ST,2,CESAR CHAVEZ ST E,Collector,1,31,59,330,0.37,F,2021 Data
2033301,CHALMERS AVE,2,RIVERVIEW ST,Collector,1,39,27,331,0.17,F,2021 Data
2041318,CHICON ST,FESTIVAL BEACH RD,BERGMAN AVE,Collector,1,29,37,621,0.44,B,2021 Data
2019682,COMAL ST,FESTIVAL BEACH RD,ROBERT WEAVER AVE,Collector,1,40,33,809,0.51,C,2021 Data
2019071,GUADALUPE ST,LAVACA ST,CESAR CHAVEZ ST W,Residential,1,99,27,287,0.15,D,2021 Data
2040892,KERN RAMBLE,FRENCH PL,34TH ST E,Residential,1,21,27,694,0.35,C,2021 Data
2019070,LAVACA ST,GUADALUPE ST,CESAR CHAVEZ ST W,Arterial,1,99,57,294,0.32,F,2021 Data
2021738,MARGRANITA CRES,TOWER DR,WINSTED LN,Residential,1,14,27,722,0.37,C,2021 Data
2041308,PLEASANT VALLEY RD N,PLEASANT VALLEY RD S,CANTERBURY ST,Arterial,1,79,41,448,0.35,C,2021 Data
3377275,PLEASANT VALLEY RD S,1,516,Arterial,1,516,42,1651,1.31,B,2021 Data
2021740,SCOTT CRES,DORMARION LN,SUNNY SLOPE DR,Residential,1,9,27,355,0.18,C,2021 Data
