Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
10TH ST E,2018690,SAN MARCOS ST,WALLER ST,"2016-11-15, 2016-11-15, 2016-11-15, 2016-11-15, 2017-11-30, 2018-07-30, 2018-07-30, 2018-07-30, 2018-07-30, 2019-08-21, 2019-08-21, 2019-08-21","PMOL, PMOL, PMOL, PMOL, PMOL, SLCT6, SLCT6, SLCT6, SLCT6, PMOL, PMOL, PMOL",1.0,,,,,,,10TH ST E,,,10TH ST E,,,,SAN MARCOS ST,,,SAN MARCOS ST,,,,WALLER ST,,,WALLER ST,,,,Residential,,,Residential,,,,A,,,C,,,,,,,2021 Data,,,,E 10TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,12,1815,91.72727272727273
10TH ST W,2020854,LORRAIN ST,MAUFRAIS ST,"2017-04-25, 2017-04-25, 2017-04-25, 2017-04-25, 2017-04-25, 2017-04-25, 2017-04-25, 2017-04-25, 2017-04-26, 2018-12-12, 2018-12-12, 2018-12-12, 2018-12-12, 2018-12-12, 2019-03-27, 2019-03-27, 2019-12-12","PMOL, PMOL, PMOL, PMOL, PMOL, PMOL, PMOL, PMOL, PMOL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, PMOL, PMOL, PMOL",1.0,,,,,,,10TH ST W,,,10TH ST W,,,,LORRAIN ST,,,LORRAIN ST,,,,MAUFRAIS ST,,,MAUFRAIS ST,,,,Residential,,,Residential,,,,A,,,D,,,,,,,2021 Data,,,,W 10TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,17,1702,60.0625
11TH ST W,2020735,CHARLOTTE ST,TOYATH ST,"2018-12-12, 2018-12-12, 2018-12-12","CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,11TH ST W,,,11TH ST W,,,,CHARLOTTE ST,,,CHARLOTTE ST,,,,TOYATH ST,,,TOYATH ST,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,W 11TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2067,0.0
13TH ST W,2020733,ELM ST,WEST LYNN ST,"2018-12-12, 2018-12-12, 2018-12-12, 2018-12-12, 2018-12-12, 2018-12-12","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",0.0,,,,,,,13TH ST W,,,13TH ST W,,,,ELM ST,,,ELM ST,,,,WEST LYNN ST,,,WEST LYNN ST,,,,Residential,,,Residential,,,,D,,,C,,,,,,,2021 Data,,,,W 13TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,6,2067,0.0
14TH 1/2 ST E,2017925,MC KINLEY AVE,AIRPORT BLVD,"2020-01-23, 2020-01-23","PMOL, PMOL",0.0,,,,,,,14TH 1/2 ST E,,,14TH 1/2 ST E,,,,MC KINLEY AVE,,,MC KINLEY AVE,,,,AIRPORT BLVD,,,AIRPORT BLVD,,,,Residential,,,Residential,,,,D,,,B,,,,,,,2021 Data,,,,E 14TH HALF ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1660,0.0
14TH ST E,2018212,CONCHO ST,LEONA ST,"2018-12-18, 2018-12-18, 2018-12-18, 2018-12-18, 2018-12-18, 2018-12-18, 2018-12-18, 2020-01-21, 2020-01-21, 2020-01-21","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, PMOL, PMOL, PMOL",1.0,,,,,,,14TH ST E,,,14TH ST E,,,,CONCHO ST,,,CONCHO ST,,,,LEONA ST,,,LEONA ST,,,,Residential,,,Residential,,,,C,,,D,,,,,,,2021 Data,,,,E 14TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,10,1662,44.333333333333336
14TH ST W,2018163,COLORADO ST,LAVACA ST,2018-09-29,FSMOL,1.0,,,,,,,14TH ST W,,,14TH ST W,,,,COLORADO ST,,,COLORADO ST,,,,LAVACA ST,,,LAVACA ST,,,,Collector,,,Collector,,,,C,,,D,,,,,,,2021 Data,,,,W 14TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2141,
18TH ST E,2017790,HARVEY ST,MC KINLEY AVE,2020-01-27,PMOL,1.0,,,,,,,18TH ST E,,,18TH ST E,,,,HARVEY ST,,,HARVEY ST,,,,MC KINLEY AVE,,,MC KINLEY AVE,,,,Residential,,,Residential,,,,C,,,B,,,,,,,2021 Data,,,,E 18TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1656,
20TH ST E,2017779,COLETO ST,CHESTNUT AVE,"2017-04-04, 2017-04-04, 2017-04-04, 2017-04-04, 2017-04-04, 2017-04-04, 2017-04-04, 2017-04-04","PMOL, PMOL, PMOL, PMOL, PMOL, PMOL, PMOL, PMOL",0.0,,,,,,,20TH ST E,,,20TH ST E,,,,COLETO ST,,,COLETO ST,,,,CHESTNUT AVE,,,CHESTNUT AVE,,,,Residential,,,Residential,,,,F,,,F,,,,,,,2021 Data,,,,E 20TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,8,2684,0.0
24TH ST W,2040909,LAMAR BLVD N,PARKWAY,"2018-07-02, 2018-07-02","PMOL, PMOL",0.0,,,,,,,24TH ST W,,,24TH ST W,,,,LAMAR BLVD N,,,LAMAR BLVD N,,,,PARKWAY,,,PARKWAY,,,,Arterial,,,Arterial,,,,F,,,F,,,,,,,2021 Data,,,,W 24TH ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2230,0.0
