ID,Length,Material,Diameter,Installed,Leak Occurred
1,13.67 ft,PVC,8,42709,0
100,255.67 ft,Cast Iron,6,29587,0
1000,19.65 ft,PVC,8,33604,0
10000,129.76 ft,PVC,8,37622,0
100000,130.07 ft,PVC,8,39631,0
100001,5.46 ft,PVC,6,39631,0
100002,5 ft,PVC,6,39631,0
100003,10 ft,PVC,8,39631,0
100004,283.16 ft,PVC,8,39631,0
100005,7 ft,PVC,6,39631,0
100006,5 ft,PVC,8,39631,0
100007,5.63 ft,PVC,8,39631,0
100008,10.2 ft,PVC,8,39631,0
100009,15 ft,PVC,8,39631,0
10001,1.6 ft,PVC,8,37622,0
100010,9.9 ft,PVC,8,39631,0
100011,10.12 ft,PVC,4,39631,0
100012,18 ft,PVC,4,39631,0
100013,5 ft,PVC,8,39631,0
100014,4.85 ft,PVC,8,39631,0
100015,10 ft,PVC,8,39631,0
100016,144.33 ft,PVC,8,39631,0
100017,10.84 ft,PVC,6,39631,0
100018,10 ft,PVC,8,39631,0
100019,273.68 ft,PVC,8,39631,0
10002,87.88 ft,PVC,8,34700,0
100020,5.45 ft,PVC,6,39631,0
100021,5 ft,PVC,6,39631,0
100022,79 ft,PVC,8,39631,0
100023,9.65 ft,PVC,8,39631,0
100024,79.45 ft,Ductile Iron,12,34335,0
100025,138.54 ft,Ductile Iron,12,34335,0
100026,31 ft,PVC,6,39631,0
100027,9.8 ft,PVC,6,39631,0
100028,10.24 ft,Ductile Iron,12,34335,0
100029,46 ft,Ductile Iron,12,34335,0
100030,10 ft,Ductile Iron,12,34335,0
100031,49.33 ft,Ductile Iron,12,34335,0
100032,11.26 ft,PVC,8,39631,0
100033,315 ft,PVC,8,39631,0
100034,4.67 ft,PVC,8,39631,0
100035,4.5 ft,PVC,8,39631,0
100036,23.91 ft,PVC,8,39631,0
100037,9.5 ft,PVC,4,39631,0
100038,9.33 ft,PVC,4,39631,0
100039,10.13 ft,PVC,8,39631,0
10004,185 ft,PVC,8,37257,0
100040,7.86 ft,PVC,8,39631,0
100041,7.7 ft,PVC,8,39631,0
100042,10 ft,PVC,8,39631,0
100043,16.38 ft,PVC,8,39631,0
100044,12 ft,PVC,6,39631,0
100045,10.06 ft,PVC,6,39631,0
100046,9.25 ft,PVC,8,39631,0
100047,185 ft,PVC,8,39631,0
100048,20 ft,PVC,4,39631,0
100049,10.33 ft,PVC,4,39631,0
10005,7.7 ft,PVC,6,37257,0
100050,18.66 ft,PVC,8,39631,0
100051,10 ft,PVC,8,39631,0
100052,9.88 ft,PVC,8,39631,0
100053,16 ft,PVC,8,39631,0
100054,10.31 ft,PVC,8,39631,0
100055,15 ft,PVC,6,39631,0
100056,9.79 ft,PVC,6,39631,0
100057,3.7 ft,PVC,8,39631,0
100058,3.86 ft,PVC,8,39631,0
100059,112.6 ft,PVC,8,39429,0
10006,5 ft,PVC,8,37427,0
100060,58.32 ft,PVC,8,39429,0
100061,10 ft,PVC,8,39429,0
100062,68.47 ft,PVC,8,39429,0
100063,45 ft,PVC,4,39429,0
100064,3.96 ft,PVC,4,39429,0
100065,28.49 ft,PVC,8,39429,0
100066,4.36 ft,PVC,8,39429,0
100067,4.35 ft,PVC,8,39429,0
100068,45 ft,PVC,8,39429,0
100069,9.47 ft,PVC,8,39429,0
10007,90.38 ft,PVC,8,37427,0
100070,5 ft,PVC,6,39429,0
100071,8.99 ft,PVC,6,39429,0
100072,175.51 ft,PVC,8,39429,0
100073,266.28 ft,PVC,8,39429,0
100074,13.47 ft,PVC,6,39429,0
100075,2.22 ft,PVC,6,39429,0
100076,15.42 ft,PVC,8,39429,0
100077,1.98 ft,PVC,8,39429,0
100078,58.36 ft,PVC,12,39429,0
100079,5.12 ft,PVC,12,39429,0
10008,5.78 ft,PVC,8,37427,0
100080,320.16 ft,PVC,12,39429,0
100081,6.58 ft,PVC,6,39653,0
100082,56 ft,PVC,8,39653,0
100083,9.91 ft,PVC,8,39653,0
100084,9.96 ft,Cast Iron,12,28491,0
100085,23 ft,Cast Iron,12,28491,0
100086,5 ft,PVC,8,39653,0
100087,4.67 ft,PVC,8,39653,0
100088,92.01 ft,Cast Iron,12,28491,0
100089,13 ft,PVC,8,32874,0
10009,2.99 ft,PVC,8,37622,0
100090,9.26 ft,PVC,8,32874,0
100091,11 ft,PVC,8,32874,0
100092,10.69 ft,PVC,8,32874,0
100093,88.04 ft,PVC,8,32874,0
100094,19 ft,PVC,6,32874,0
100095,9.36 ft,PVC,6,32874,0
100096,10 ft,PVC,8,32874,0
100097,25.43 ft,PVC,6,38978,0
100098,5 ft,Ductile Iron,12,31778,0
100099,8.33 ft,Ductile Iron,12,31778,0
1001,4 ft,PVC,6,35796,0
10010,25.05 ft,PVC,8,38018,0
100100,13 ft,PVC,8,38978,0
100101,9.75 ft,PVC,8,38978,0
100102,10 ft,Ductile Iron,12,31778,0
100103,94.24 ft,Ductile Iron,12,31778,0
100104,7.5 ft,PVC,8,38978,0
100105,7.76 ft,PVC,8,38978,0
100106,62 ft,Ductile Iron,12,31778,0
100107,10.18 ft,Ductile Iron,12,31778,0
100108,12 ft,PVC,6,38978,0
100109,9.53 ft,PVC,6,38978,0
10011,110.74 ft,Ductile Iron,8,32509,0
100110,45 ft,Ductile Iron,12,31778,0
100111,13.32 ft,PVC,8,38978,0
100112,9 ft,PVC,8,38978,0
100113,4.74 ft,PVC,8,38978,0
100114,4.7 ft,PVC,8,38978,0
100115,9.92 ft,PVC,8,38978,0
100116,86 ft,PVC,8,38978,0
100118,4.27 ft,PVC,8,38978,0
100119,9.52 ft,PVC,8,38978,0
10012,6 ft,Ductile Iron,6,32509,0
100120,86 ft,PVC,8,38978,0
100121,5 ft,PVC,8,38978,0
100122,4.8 ft,PVC,8,38978,0
100123,6.83 ft,PVC,8,38978,0
100124,8 ft,PVC,8,38978,0
100125,7.33 ft,PVC,6,38978,0
100126,7.3 ft,PVC,6,38978,0
100127,35.04 ft,PVC,8,38978,0
100128,353.21 ft,PVC,8,38978,0
100129,10.6 ft,PVC,12,31413,0
10013,424.7 ft,Ductile Iron,8,32509,0
100130,10 ft,PVC,12,31413,0
100131,32.78 ft,PVC,6,39234,0
100132,50.94 ft,PVC,8,37257,0
100133,5 ft,PVC,4,38786,0
100134,5 ft,PVC,4,38786,0
100136,5 ft,PVC,6,38449,0
100137,5 ft,PVC,6,38449,0
100138,32.04 ft,PVC,8,38449,0
100139,5.1 ft,PVC,8,38856,0
10014,85.68 ft,Ductile Iron,8,32509,0
100140,5 ft,PVC,8,38856,0
100141,31.66 ft,PVC,8,38856,0
100142,6 ft,PVC,6,38856,0
100143,7.42 ft,PVC,6,38856,0
100144,10.06 ft,PVC,6,38757,0
100145,147 ft,PVC,6,38757,0
100146,9.49 ft,PVC,8,38440,0
100147,5 ft,PVC,8,38440,0
10015,153.68 ft,PVC,8,37622,0
10016,145.78 ft,PVC,6,36161,0
100162,4.78 ft,PVC,8,27760,0
100163,5 ft,PVC,8,27760,0
100164,141.68 ft,PVC,8,35059,0
100165,9.81 ft,PVC,8,39511,0
100166,235.97 ft,PVC,8,39511,0
100167,9.7 ft,PVC,6,39511,0
100168,16 ft,PVC,6,39511,0
100169,9.66 ft,PVC,8,39511,0
10017,20.72 ft,PVC,12,36161,0
100170,71 ft,PVC,8,39511,0
100171,10 ft,PVC,8,39666,0
100172,209.99 ft,PVC,8,39666,0
100173,10.45 ft,PVC,8,39666,0
100174,162.97 ft,PVC,8,39666,0
100175,9.61 ft,PVC,8,39666,0
100176,86.97 ft,PVC,8,39666,0
100177,9.58 ft,PVC,8,39666,0
100178,11.13 ft,PVC,6,39666,0
100179,11.19 ft,PVC,6,39666,0
10018,258.33 ft,Cast Iron,6,27395,0
100180,365.94 ft,PVC,8,39666,0
100181,10.43 ft,PVC,8,39666,0
100182,4.5 ft,PVC,6,39666,0
100183,4.53 ft,PVC,6,39666,0
100184,49.99 ft,PVC,8,39666,0
100185,9.97 ft,PVC,8,39666,0
100186,10.08 ft,PVC,4,39666,0
100187,10 ft,PVC,4,39666,0
100188,19.99 ft,PVC,8,39666,0
100189,7.93 ft,PVC,8,39666,0
10019,6.38 ft,PVC,8,37622,0
100190,220.36 ft,PVC,8,39666,0
100191,7.5 ft,PVC,8,39666,0
100192,125.93 ft,PVC,8,39666,0
100193,9.75 ft,PVC,8,39666,0
100194,32.26 ft,PVC,8,39666,0
100195,10 ft,PVC,8,39666,0
100196,5 ft,PVC,6,39666,0
100197,4.88 ft,PVC,6,39666,0
100198,272.34 ft,PVC,8,39666,0
100199,10 ft,PVC,8,39666,0
1002,327.85 ft,Ductile Iron,8,32509,0
10020,7.72 ft,Cast Iron,8,26665,0
100200,5.85 ft,PVC,6,39666,0
100201,5 ft,PVC,6,39666,0
100202,387.52 ft,PVC,8,39666,0
100203,10 ft,PVC,8,39666,0
100204,10 ft,PVC,8,39666,0
100205,197.87 ft,PVC,8,39666,0
100206,16 ft,PVC,8,39666,0
100207,9.93 ft,PVC,8,39666,0
100208,4.79 ft,PVC,6,39666,0
100209,4.6 ft,PVC,6,39666,0
10021,5.66 ft,PVC,6,37622,0
100210,381.9 ft,PVC,8,39666,0
100211,9.69 ft,PVC,8,39666,0
100212,5 ft,PVC,6,39666,0
100213,5.01 ft,PVC,6,39666,0
100214,313.91 ft,PVC,8,39666,0
100215,10.37 ft,PVC,8,39666,0
100216,9.89 ft,PVC,8,39666,0
100217,41.99 ft,PVC,8,39666,0
100218,9.4 ft,PVC,8,39666,0
100219,10 ft,PVC,6,39666,0
10022,10.07 ft,PVC,8,37622,0
100220,9.29 ft,PVC,6,39666,0
100221,309.93 ft,PVC,8,39666,0
100222,8.2 ft,PVC,8,39666,0
100223,9.08 ft,PVC,6,39666,0
100224,10 ft,PVC,6,39666,0
100225,31.99 ft,PVC,8,39666,0
100226,9.43 ft,PVC,8,39666,0
100227,199.9 ft,PVC,8,39666,0
100228,8.46 ft,PVC,8,39666,0
100229,11.08 ft,PVC,6,39666,0
100230,11 ft,PVC,6,39666,0
100231,241.95 ft,PVC,8,39666,0
100232,9.72 ft,PVC,8,39666,0
100233,10.26 ft,PVC,8,39666,0
100234,85.96 ft,PVC,8,39666,0
100235,60.93 ft,PVC,8,39666,0
100236,10 ft,PVC,8,39666,0
100237,171.27 ft,PVC,8,39666,0
100238,7.66 ft,PVC,4,39666,0
100239,8 ft,PVC,4,39666,0
10024,60 ft,PVC,8,36161,0
100240,8.5 ft,PVC,8,39666,0
100241,19.92 ft,PVC,8,39666,0
100242,37 ft,PVC,8,39666,0
100243,10.1 ft,PVC,8,39666,0
100244,8 ft,PVC,8,39666,0
100245,7.82 ft,PVC,8,39666,0
100246,13 ft,PVC,6,39666,0
100247,9.41 ft,PVC,6,39666,0
100248,400 ft,PVC,8,39666,0
100249,10.39 ft,PVC,8,39666,0
10025,5 ft,PVC,6,36161,0
100250,4.68 ft,PVC,6,39666,0
100251,4.6 ft,PVC,6,39666,0
100252,93.98 ft,PVC,8,39666,0
100253,9.74 ft,PVC,8,39666,0
10026,7.56 ft,PVC,8,36161,0
100261,5 ft,PVC,6,39680,0
100262,5.65 ft,PVC,6,39680,0
100264,80.51 ft,PVC,8,39680,0
100265,6.64 ft,PVC,6,39680,0
100266,6.55 ft,PVC,6,39680,0
100267,10 ft,PVC,8,39680,0
100268,307 ft,PVC,8,39680,0
100269,9.49 ft,PVC,8,39680,0
10027,217.63 ft,PVC,8,36161,0
100270,7.82 ft,PVC,6,39680,0
100271,7.7 ft,PVC,6,39680,0
100272,38.66 ft,PVC,8,39680,0
100273,9.38 ft,PVC,4,39680,0
100274,9.5 ft,PVC,4,39680,0
100275,22 ft,PVC,8,39680,0
100276,9.53 ft,PVC,8,39680,0
100277,7 ft,PVC,8,39680,0
100278,6.95 ft,PVC,8,39680,0
100279,360 ft,PVC,8,39680,0
10028,21.3 ft,PVC,8,37622,0
100280,7.74 ft,PVC,8,39680,0
100281,11.3 ft,PVC,6,39680,0
100282,10.92 ft,PVC,6,39680,0
100283,40 ft,PVC,8,39680,0
100284,8.91 ft,PVC,6,39680,0
100285,10 ft,Cast Iron,6,22282,0
100286,231.78 ft,Cast Iron,6,22282,0
10029,2.26 ft,PVC,8,37622,0
100291,9.93 ft,PVC,8,38258,0
100292,5.77 ft,PVC,8,39638,0
100293,5.7 ft,PVC,8,39638,0
100294,5.7 ft,PVC,4,39638,0
100295,7.24 ft,PVC,4,39638,0
100296,5 ft,PVC,8,31778,0
100297,5.37 ft,PVC,8,38721,0
100298,17 ft,PVC,8,38721,0
100299,10.57 ft,PVC,8,38721,0
1003,41.34 ft,PVC,8,35431,0
10030,4.85 ft,PVC,6,37622,0
100300,90 ft,PVC,8,38721,0
100301,8 ft,PVC,6,38721,0
100302,80.45 ft,PVC,8,38721,0
100303,10 ft,PVC,8,38721,0
100304,25 ft,PVC,6,38721,0
100305,9.18 ft,PVC,6,38721,0
100306,34.29 ft,PVC,8,38721,0
100307,66.24 ft,PVC,8,38721,0
100308,9.95 ft,PVC,8,38721,0
100309,62 ft,PVC,8,38721,0
10031,10.79 ft,PVC,8,37622,0
100310,4 ft,PVC,6,38721,0
100311,116 ft,PVC,8,38721,0
100312,9.51 ft,PVC,8,38721,0
100313,10.11 ft,PVC,8,38721,0
100314,141 ft,PVC,8,38721,0
100315,8.69 ft,PVC,6,38721,0
100316,8.65 ft,PVC,6,38721,0
100317,9.77 ft,PVC,8,38721,0
100318,107 ft,PVC,8,38721,0
100319,69.53 ft,PVC,8,38721,0
10032,162.75 ft,Reinforced Concrete Cylinder Pipe,18,22647,0
100320,10 ft,PVC,8,38721,0
100321,4.11 ft,PVC,8,38721,0
100322,4 ft,PVC,8,38721,0
100323,6.11 ft,PVC,8,38721,0
100324,6.1 ft,PVC,8,38721,0
100325,44.16 ft,PVC,8,38721,0
100326,6.18 ft,PVC,4,38721,0
100327,6.1 ft,PVC,4,38721,0
100328,9.69 ft,PVC,8,38721,0
100329,56 ft,PVC,8,38721,0
10033,11.66 ft,PVC,8,37257,0
100330,27 ft,PVC,6,38721,0
100331,10.05 ft,PVC,6,38721,0
100332,9.74 ft,PVC,8,38721,0
100333,259 ft,PVC,8,38721,0
100334,9.16 ft,PVC,6,38721,0
100335,9 ft,PVC,6,38721,0
100336,9.78 ft,PVC,8,38721,0
100337,134 ft,PVC,8,38721,0
100338,10.49 ft,PVC,8,38721,0
100339,119 ft,PVC,8,38721,0
10034,5 ft,PVC,6,31063,0
100340,7 ft,PVC,6,38721,0
100341,10.18 ft,PVC,8,38721,0
100342,118 ft,PVC,8,38721,0
100343,16.96 ft,PVC,8,38721,0
100344,9.79 ft,PVC,8,38721,0
100345,111 ft,PVC,8,38721,0
100346,4.28 ft,PVC,6,38721,0
100347,4.2 ft,PVC,6,38721,0
100348,57.11 ft,PVC,8,38721,0
