TREATMENT,YEAR,TO_STREET,PROJECT_ID,COMMENTS,Shape__Length,OBJECTID,the_geom,CREATED_BY,MODIFIED_DATE,PW_CURRENT_YR_SERVICE_PLAN_ID,FROM_STREET,FULL_STREET_NAME,CREATED_DATE,MODIFIED_BY,PROJECT_DESCRIPTION
CRCKSL,2022,2809,115982,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",173.0353331,770,"MULTILINESTRING ((-97.813522379123 30.215847263013, -97.81395517416 30.216138947943))",BSHARMA,,708,West Gate Blvd,LEEDS CV,8/22/2021 19:00,,CRCKSL on LEEDS CV from West Gate Blvd to 2809
CRCKSL,2022,Crystalbrook West,115956,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",842.9922609,605,"MULTILINESTRING ((-97.654049218098 30.315714054984, -97.654013210594 30.31558106479, -97.653960566293 30.315466897162, -97.653828493582 30.31535739008, -97.653166796048 30.315041013183, -97.652885162886 30.314926841306, -97.65268295479 30.314912629094, -97.652530367797 30.314951739428, -97.652199506653 30.315122688489, -97.652049378975 30.315159979423, -97.651843620746 30.315227873696))",BSHARMA,,682,Uray Dr,HIBISCUS DR,8/22/2021 19:00,,CRCKSL on HIBISCUS DR from Uray Dr to Crystalbrook West
SLCT6,2022,Inglewood St,97238,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",495.5810046,296,"MULTILINESTRING ((-97.733640366836 30.246637378931, -97.733779986669 30.245827293352), (-97.733352805102 30.24799368838, -97.733586603102 30.247489471868))",BSHARMA,,363,Edgecliff St,MANLOVE ST,8/22/2021 19:00,,SLCT6 on MANLOVE ST from Edgecliff St to Inglewood St
Overlay,2022,Clawson Rd,96889,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1283.344882,35,"MULTILINESTRING ((-97.77330227485 30.237428888858, -97.773670960928 30.237620528159, -97.774915233121 30.23823945494, -97.775438834265 30.238442434023, -97.77572572549 30.238613181663, -97.776867022677 30.239114519611))",BSHARMA,,64,Dead End,LIGHTSEY RD,8/22/2021 19:00,,Overlay on LIGHTSEY RD from Dead End to Clawson Rd
SLCT6,2022,Jester Blvd,97288,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",229.1421778,419,"MULTILINESTRING ((-97.800990586552 30.390064229156, -97.801621193101 30.389751027722))",BSHARMA,,402,8101,PAMPAS CV,8/22/2021 19:00,,SLCT6 on PAMPAS CV from 8101 to Jester Blvd
SLCT6,2022,Hester Rd,96978,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",986.8569246,228,"MULTILINESTRING ((-97.673754032603 30.260962503055, -97.672809382325 30.260501624192, -97.672021763911 30.260160090339, -97.671627269658 30.259984293894, -97.671527694704 30.259931317321, -97.671445045121 30.259876596872, -97.671378926531 30.259820789637, -97.67132294217 30.259756596266, -97.671270452328 30.259685314171, -97.671222320563 30.259615554524, -97.671186152155 30.259514878171))",BSHARMA,,145,Howard Rd,ALLEYTON DR,8/22/2021 19:00,,SLCT6 on ALLEYTON DR from Howard Rd to Hester Rd
CRCKSL,2022,North Loop Blvd W,115949,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",620.5792218,598,"MULTILINESTRING ((-97.727904122479 30.318457512589, -97.72745799581 30.319188291703, -97.726964879583 30.31995661916))",BSHARMA,,675,Zennia St,GUADALUPE ST,8/22/2021 19:00,,CRCKSL on GUADALUPE ST from Zennia St to North Loop Blvd W
SLCT6,2022,Lupine Ln,97403,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",600.5991042,457,"MULTILINESTRING ((-97.731427782044 30.245370452831, -97.732304879574 30.243905114453))",BSHARMA,,499,Old East Riverside Dr,UPLAND DR,8/22/2021 19:00,,SLCT6 on UPLAND DR from Old East Riverside Dr to Lupine Ln
CRCKSL,2022,Ellingson Ln,115859,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",662.6469885,649,"MULTILINESTRING ((-97.719379306198 30.301465506363, -97.719168661711 30.301840760323, -97.718684699543 30.302622993239, -97.718387296375 30.303070736044))",BSHARMA,,585,4210,BENNETT AVE,8/22/2021 19:00,,CRCKSL on BENNETT AVE from 4210 to Ellingson Ln
SLCT6,2022,Sprucewood Dr,97024,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",457.0831434,151,"MULTILINESTRING ((-97.785380587393 30.361962306369, -97.786823578958 30.361845197191))",BSHARMA,,183,5501,BLUERIDGE CT,8/22/2021 19:00,,SLCT6 on BLUERIDGE CT from 5501 to Sprucewood Dr
