Treatment,Segment ID,Council District,Street Name,From Limit Street,To Limit Street,Segment Length,Segment Width,Lane Miles,Completion Date,PROJECT_ID,Resurfacing Description,Treatment Category,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Functional Class,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances,Street Combination,Maintenance Dates
SLCT6,2013398,10.0,BUTTE BLVD,PALISADE DR,F M 2222 RD,239,21.0,0.09,10/3/2016 0:00,28005,,PM Thin Surface Treatment,F,D,D,2021.0,2018.0,2018.0,Residential,2863,1,,BUTTE BLVD|F M 2222 RD|PALISADE DR,"['2016-10-03', '2015-07-31', '2015-02-22', '2014-02-14', '2013-02-07', '2012-05-05', '2011-02-27', '2010-03-12', '2009-07-11', '2008-04-24']"
SLCT6,2037775,10.0,BUTTE BLVD,PALISADE DR,F M 2222 RD,229,21.0,0.09,10/3/2016 0:00,28005,,PM Thin Surface Treatment,C,D,D,2021.0,2018.0,2018.0,Residential,2863,1,,BUTTE BLVD|F M 2222 RD|PALISADE DR,"['2016-10-03', '2016-01-01', '2015-01-13', '2013-12-27', '2013-08-20', '2012-12-26', '2011-12-09', '2011-02-03', '2009-10-15', '2008-06-21']"
SLCT5,2032277,10.0,LEEWARD CT,4801,PALISADE DR,131,27.0,0.06,10/3/2016 0:00,28335,,PM Thin Surface Treatment,F,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,LEEWARD CT|4801|PALISADE DR,"['2016-10-03', '2016-04-28', '2015-07-10', '2015-01-10', '2014-03-28', '2012-11-15', '2011-11-26', '2010-10-15', '2009-09-14', '2008-11-14']"
SLCT6,2032292,10.0,CRAGGY PT,5600,PALISADE DR,249,27.0,0.13,10/3/2016 0:00,28086,,PM Thin Surface Treatment,C,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,CRAGGY PT|5600|PALISADE DR,"['2016-10-03', '2015-10-04', '2014-08-22', '2013-09-27', '2013-02-15', '2012-07-12', '2011-08-11', '2010-07-16', '2009-05-27', '2008-05-19']"
SLCT6,2032279,10.0,PRECIPICE CV,PALISADE DR,4809,131,27.0,0.07,10/3/2016 0:00,28495,,PM Thin Surface Treatment,C,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PRECIPICE CV|4809|PALISADE DR,"['2016-10-03', '2015-10-10', '2014-06-26', '2012-12-14', '2011-07-16', '2010-02-16', '2008-07-19', '2007-05-08', '2006-04-13', '2004-11-18']"
SLURRY,2042101,5.0,JUBILEE TRL,ROCHELLE DR,3125,562,29.0,0.31,10/3/2016 0:00,27621,,PM Thin Surface Treatment,C,C,D,2022.0,2019.0,2017.0,Residential,2863,2,0.0,JUBILEE TRL|3125|ROCHELLE DR,"['2016-10-03', '2015-09-30', '2014-10-02', '2014-02-14', '2012-10-16', '2011-12-20', '2011-06-08', '2010-07-05', '2009-07-16']"
SLURRY,2042101,5.0,JUBILEE TRL,ROCHELLE DR,3125,562,29.0,0.31,10/3/2016 0:00,27622,,PM Thin Surface Treatment,C,C,D,2022.0,2019.0,2017.0,Residential,2863,2,0.0,JUBILEE TRL|3125|ROCHELLE DR,"['2016-10-03', '2015-07-21', '2014-12-21', '2013-11-07', '2012-12-29', '2011-11-28', '2010-11-12', '2009-11-22', '2008-07-22']"
SLURRY,2035185,5.0,IVANHOE TRL,10101,ROCHELLE DR,247,29.0,0.14,10/3/2016 0:00,27624,,PM Thin Surface Treatment,F,D,D,2022.0,2019.0,2017.0,Residential,2863,1,,IVANHOE TRL|10101|ROCHELLE DR,"['2016-10-03', '2015-07-21', '2014-06-22', '2013-10-13', '2012-05-13', '2011-04-28', '2010-09-09', '2009-10-12', '2009-04-13', '2008-08-14']"
SLURRY,2027749,5.0,IVANHOE TRL,ROCHELLE DR,WADSWORTH WAY,397,27.0,0.21,10/3/2016 0:00,27625,,PM Thin Surface Treatment,F,B,D,2022.0,2019.0,2017.0,Residential,2863,1,,IVANHOE TRL|ROCHELLE DR|WADSWORTH WAY,"['2016-10-03', '2015-06-26', '2014-03-20', '2013-07-25', '2012-09-08', '2011-07-21', '2010-05-14', '2009-01-13', '2007-10-22', '2006-08-12']"
SLURRY,2034707,5.0,JADEWOOD CT,2801,LINDSHIRE LN,299,29.0,0.16,10/3/2016 0:00,27628,,PM Thin Surface Treatment,D,C,F,2022.0,2019.0,2017.0,Residential,2863,1,,JADEWOOD CT|2801|LINDSHIRE LN,"['2016-10-03', '2015-07-07', '2014-02-25', '2013-01-28', '2012-04-01', '2011-05-22', '2010-05-19', '2009-04-27', '2008-05-27', '2007-05-25']"
